param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score,mean_train_score
entropy,,1,50,0.3560430378023983,0.020238475886463388,1,0.5459782508818689
gini,,1,50,0.3559261303402085,0.013999431793422867,2,0.518209396857148
gini,,10,50,0.355479784607492,0.016167484524239713,3,0.4543193641340223
gini,,10,2,0.353687736607292,0.017303855297182796,4,0.5070695122981725
gini,,10,20,0.353687736607292,0.017303855297182796,4,0.5070695122981725
entropy,,10,50,0.34316910042642357,0.02511850543630791,6,0.4553718623260467
entropy,,10,2,0.33882086403943346,0.020276203062422976,7,0.5129621078756913
entropy,,10,20,0.33882086403943346,0.020276203062422976,7,0.5129621078756913
gini,,1,20,0.33786887945813693,0.018033656178007985,9,0.6335913798922551
gini,,25,2,0.33683061242926626,0.01560062551228502,10,0.4127278515939324
gini,,25,20,0.33683061242926626,0.01560062551228502,10,0.4127278515939324
gini,,25,50,0.33683061242926626,0.01560062551228502,10,0.4127278515939324
entropy,,1,20,0.33591793709532564,0.01756050582373218,13,0.6726841624988095
entropy,,25,2,0.3310028305892683,0.014765517861178462,14,0.4107628961008805
entropy,,25,20,0.3310028305892683,0.014765517861178462,14,0.4107628961008805
entropy,,25,50,0.3310028305892683,0.014765517861178462,14,0.4107628961008805
gini,10,1,50,0.31274290449079206,0.024457358183337257,17,0.38226163580009664
gini,,1,2,0.31141964897921526,0.008693869897731256,18,1.0
gini,10,1,20,0.3086090053588272,0.015819324556373117,19,0.4016364611175306
entropy,10,1,20,0.3073870317134003,0.017901415679147076,20,0.38249821654706023
entropy,,1,2,0.3069184218345117,0.01662445905756826,21,1.0
gini,10,25,2,0.30520897957319415,0.021973592332987357,22,0.3616907677872375
gini,10,25,20,0.30520897957319415,0.021973592332987357,22,0.3616907677872375
gini,10,25,50,0.30520897957319415,0.021973592332987357,22,0.3616907677872375
gini,10,1,2,0.30516305014028733,0.019572546644657414,25,0.42597798081985794
entropy,10,1,50,0.304307471170501,0.02579201464395103,26,0.36096211966350034
entropy,10,1,2,0.30237048981637615,0.022194728324047296,27,0.40080113675270235
entropy,10,10,2,0.3020881399590984,0.009647221823226,28,0.37538247558318566
entropy,10,10,20,0.3020881399590984,0.009647221823226,28,0.37538247558318566
entropy,10,10,50,0.30168688761686013,0.02413117467375783,30,0.35884856544557586
gini,7,1,20,0.3012460981593699,0.019274303528874676,31,0.3421805989191612
gini,10,10,2,0.301205325917664,0.011565619981205508,32,0.3857087465705805
gini,10,10,20,0.301205325917664,0.011565619981205508,32,0.3857087465705805
gini,10,10,50,0.30113755060098735,0.0186909411053738,34,0.3699741957946557
gini,7,10,2,0.29944334433976155,0.016468690489916102,35,0.3365226991320055
gini,7,10,20,0.29944334433976155,0.016468690489916102,35,0.3365226991320055
gini,7,1,2,0.2991619326827585,0.018032996467049367,37,0.3434498202532818
entropy,10,25,2,0.29807861636200156,0.027069075997257677,38,0.3467084540577802
entropy,10,25,20,0.29807861636200156,0.027069075997257677,38,0.3467084540577802
entropy,10,25,50,0.29807861636200156,0.027069075997257677,38,0.3467084540577802
gini,7,1,50,0.29735983880000416,0.02219007822735616,41,0.3359745907895185
